# epoch	train_loss	dev_loss	dev_f1
1	9.361523	6.023990	0.0000
2	4.473186	6.735688	0.0000
3	1.644053	5.787633	0.0000
4	1.274011	5.905735	0.0000
5	1.127131	6.205078	0.0000
6	0.977746	6.521367	0.0000
7	0.910068	6.928499	0.0000
8	0.855917	7.153214	0.0000
9	0.838122	7.458441	0.0000
10	0.826347	7.530245	0.0000
11	0.840577	7.990891	0.0000
12	0.863580	7.698416	0.0000
13	0.923546	8.985174	0.0000
14	1.234624	7.670812	0.0000
15	0.813213	7.823931	0.0000
16	0.829316	7.820196	0.0000
17	0.811983	8.026035	0.0000
18	0.809216	7.989284	0.0000
19	0.801085	8.090972	0.0000
20	0.763305	8.127823	0.0000
21	0.786008	8.178142	0.0000
22	0.778397	8.220073	0.0000
23	0.788809	8.238322	0.0000
24	0.780575	8.257478	0.0000
25	0.765652	8.299557	0.0000
26	0.778099	8.312985	0.0000
27	0.787540	8.326529	0.0000
28	0.774203	8.338831	0.0000
29	0.778248	8.348495	0.0000
30	0.753896	8.368303	0.0000
